ID,all_k,rural_k,urban_k,beta
P15,0.408559037150334,0.12808955877911,0.134427003064254,2.99027669791357
P160,0.141259681464088,0.766461324006251,0.147675717875305,4.78169942849494
P161,0.196893575784268,0.125584506213737,0.693062973391737,2.74036708728296
P162,0.131788399736137,0.132657468143631,0.401789739515713,3.4774194647338
P163,0.134434260216858,0.274145486634588,0.272418173355716,3.50502243514103
P164,0.417319833201919,0.927002708005255,0.831015296509504,3.14566379193433
P165,0.132474196207226,0.815228650203307,0.320600748619984,3.53031495961566
P166,0.247768399718565,0.216019873046736,0.500448149328369,2.94195816086879
P167,0.207706326553217,0.129696998052448,0.627983233615339,2.79407281072381
P168,0.48622105588047,0.398882072706652,1.25557410546744,3.59129843926366
P169,0.250525711069071,1.39569189046294,0.636953057546256,3.09152308119702
P16,0.944220301250236,1.09820653174925,0.96702562534538,2.7302971142554
P170,1.03603124788234,0.359710368605473,0.413671296082062,5.54190692717437
P171,0.148301826682321,0.19212185484117,0.268164562737908,5.94965638285263
P172,0.317409386512904,0.270978856172101,0.141197097000739,3.8251138807743
P173,0.432274940658877,1.22318590816774,0.325875010651791,2.02600252284718
P174,0.130061638701342,0.130688093716781,0.688789677517811,3.26405558501179
P176,0.439012963020077,0.361047440007589,0.955185558192768,5.60655665025841
P177,0.143627774330978,0.324808601532794,0.304884108609959,4.81078601491868
P178,0.408602527047953,0.919719696761372,0.430328957184181,2.25688511085155
P179,0.449196829989998,0.482321515451502,0.454566879919582,6.44486674808674
P17,1.37006919865847,1.45308381263208,1.3969039737727,6.49836812039105
P180,0.46436828538725,0.636729465763275,0.512030499701021,5.33152467787299
P181,0.147739707278849,0.149600453495352,0.19450738078064,5.85011507274828
P182,0.148098799361201,0.14993965420192,0.154179974156194,5.91097741101342
P183,0.221021578666555,1.08415896282276,0.218179600019746,3.57593430602065
P185,1.10833051249024,1.10455129303027,0.821716583807568,3.35649151686438
P186,0.439953311155701,0.841417338911328,0.15628105332896,1.85421655926598
P187,0.449983189706231,1.45329372165838,0.455281706857494,6.52213219398983
P188,0.137011130799033,0.138193879940132,0.945519592977455,4.15912556997075
P189,0.712791067300478,0.496841791431639,0.778652743149043,1.36888296836111
P18,0.148025399121918,0.151117172689275,0.154125832442306,5.89893132193939
P190,0.346247579121516,0.670633524713545,0.659592112198641,2.55730730605162
P191,0.148084113236958,0.149931299924731,0.154247676643267,5.90916231002017
P192,0.148081060079912,0.149935540510276,0.154198014629716,5.91083321040408
P193,0.752759464666661,0.515284348820371,0.665097699937447,1.35549196146288
P194,0.47429637014835,0.603424243279101,0.59486528963718,5.92878424481136
P195,1.15203871457827,1.20580391534521,0.99689529964431,6.96027034135285
P196,0.42020969889283,0.457181385027761,0.453651954858143,6.35092351886593
P197,0.563080673572138,0.460387928122799,0.456982429168135,6.71554076387369
P199,0.537690864308616,0.960991527054144,0.512027198936578,1.85055925300326
P19,1.13737005752386,1.16783894133788,1.16588372131322,4.18957967924867
P200,0.353472742300385,0.323416425895566,0.23548834116044,3.74197112739459
P201,0.148665763982585,0.26913348298298,0.154753409691608,6.01582338432534
P202,0.138000842366638,1.22213398619298,0.233936737136684,4.29807992778207
P203,0.551809131727426,0.3500054795733,0.264403623108141,2.39199150986213
P204,0.367020067132564,0.697815819154775,0.546660026141761,3.89928551909437
P205,0.393851649153243,0.333925156039923,0.80665384195194,2.7669178595262
P206,0.354954934478603,0.453638015973089,0.463004111252656,6.00122136626628
P207,0.148045822017961,0.149905774365011,0.154549582370858,5.90548763101033
P208,1.36802724642904,1.41679823449887,1.39513047445511,6.35305975755254
P209,0.148096382165692,0.149932821658853,0.154187760697127,5.91068433489382
P20,0.263328245356779,1.44838513383735,0.360361038247454,5.98759264269008
P210,0.148053990559753,0.149911063868209,0.154527078706934,5.90542919350188
P211,0.488325345718945,1.05942862308761,0.33991901230951,4.52330598308885
P212,0.46389625787732,0.884352312262949,0.738046708079072,1.20690597758828
P213,0.31316110044627,1.41368636741399,0.292443147440554,5.10160858444796
P214,0.14808115471088,0.149935440382102,0.154206963400129,5.91083760793066
P215,1.36941491011256,1.45266681760633,1.3917752938566,6.45159253057084
P216,1.05898809775345,0.346259142743715,0.57593186633083,4.67454826081735
P217,0.13492589997609,0.326863177949194,0.149665875051784,3.87309364357063
P218,1.34229698446794,0.143079577743778,1.10524517938351,4.8324165191754
P219,0.762580273353313,0.899687352564174,0.998525039761255,5.30432540573677
P21,0.148080663736864,0.149941058626173,0.154196453960208,5.91095315838051
P220,0.236907655709075,0.149662936990555,0.148215622990827,4.868641670356
