ID,true_all_k,true_rural_k,true_urban_k,true_beta,recovered_all_k,recovered_rural_k,recovered_urban_k,recovered_beta
sim_024,0.881747382043471,0.299836579470647,0.354704309140256,0.0183671492464126,0.608986298147814,0.510228852868362,0.759550333444104,1.20877329761603
sim_025,0.0271582949005807,0.595509509975678,0.324062982138356,0.0624848234787894,0.541938233217169,0.420095815029467,0.287889357326943,1.42502770731798
sim_026,0.214612078497978,0.502651100410812,0.293608480778401,0.0923732884074416,1.01236192987948,0.779688525764542,0.73114173171161,2.72604995253045
sim_027,0.596768303670724,0.608366544591317,0.430302453221011,0.0261413563632539,0.384761264542124,0.873452020621824,0.644800436531132,2.04165052347671
sim_028,0.893466125375551,0.589001901477021,0.259753443905601,0.0548892999150848,0.447698494808621,0.542543107588712,0.441604184469742,1.21706122102384
sim_029,0.0748553572688317,0.855931469325689,0.370943309821988,0.069849305673723,0.550356291748492,0.640317368946404,0.630224678489269,1.24371200674847
sim_030,0.369402466770995,0.848412692445792,0.278916941139622,0.0661719243555255,0.561079118635022,0.387790331472343,0.626031854018146,0.870097309564477
sim_031,0.600270851296474,0.895127326233918,0.339537795312005,0.105857844301746,0.613859515229271,0.424576121567567,0.488804012659053,4.28400694790551
sim_032,0.920572977495912,0.839860701203774,0.246874714169793,0.056405650051664,0.496496260351784,0.529810175408739,0.605411271704702,0.752840580582391
sim_033,0.0948585389358087,0.0492074555716353,0.488789924580187,0.0649220784396905,0.462116816418116,0.587614716880624,0.384439576904812,1.40228642671563
sim_034,0.280470262062971,0.0845148583936108,0.634293752875719,0.00377352488828469,0.594257447297581,0.600921094954706,0.570292615751182,2.33759235051909
sim_035,0.597406672345839,0.0428030215834436,0.626173831752283,0.00789200050314523,0.443327901398129,0.392496742435281,0.697074013186142,1.14789848796808
sim_036,0.951758180934354,0.0931909100402735,0.493736649309374,0.0885953818364031,0.506993614347462,0.628650279417155,0.360604902600065,2.21359080089701
sim_037,0.00278214082571259,0.326542777104387,0.642411528039925,0.03923799608541,0.462158085310585,0.860378066043426,0.716357886489426,2.35703444612074
sim_038,0.322974988068524,0.272261092048338,0.574526250099606,0.025711266754563,0.896852431422801,0.568829009176586,0.782309968614509,2.2096795817306
sim_039,0.542779361184906,0.278314573905487,0.611263358786084,0.0206725570861789,0.652258506682533,0.372355102378063,0.408545058512135,1.24618221509737
sim_040,0.970353130918061,0.358757238574725,0.616199035036323,0.0807322596404156,0.63135301959847,0.315187235897367,0.538381643840932,1.25771044767714
sim_041,0.0119729572753087,0.585728152242448,0.658230272494983,0.01475090048887,0.529311313952058,0.456171575288345,0.772501393007103,1.65351819232362
sim_042,0.306404814553534,0.635810725614351,0.61833655955239,0.0713097867885519,0.504079771616236,0.990198622551727,0.719737059796838,2.162300018529
sim_043,0.594720992053291,0.622168365875333,0.632905573292859,0.0849405976117746,0.377660739951662,0.509825332154497,0.824843331154324,1.17275932747694
sim_044,0.875194674236587,0.580358172702624,0.585818913887783,0.0473522588757593,0.883436142837556,0.398680182850569,0.659060372715865,2.40288311071407
sim_045,0.043164498303723,0.846813777552352,0.622690854376325,0.0257437772736641,0.558701673178132,0.465409352144369,0.667480407767398,1.72654874832064
sim_046,0.342535852956637,0.862111929804881,0.536623802850928,0.03739447408531,0.639807648598452,0.527083431341629,0.427943790993459,1.62301047085542
sim_047,0.601522993987609,0.980395865038477,0.646451647303931,0.026318366023785,0.59310460991644,0.4559799931607,0.461608898552106,1.09518763483534
sim_048,0.919181715192297,0.892356446050882,0.652698960959796,0.000441399532239308,0.436181465806126,0.33776324408828,0.550726122661563,1.1752491811506
sim_049,0.0195257200704103,0.112243215007133,0.884899800030499,0.0261137125986726,0.186555883623887,0.687856518569275,0.899046751592353,2.18963520853554
sim_050,0.314241058026453,0.0197958552757836,0.91865213442495,0.0308226604839675,0.622397976247498,0.604160477810021,0.307629863068189,1.7163011641097
sim_051,0.62777520792506,0.0335189738425576,0.905730327016533,0.012468016152226,0.779318125357474,0.72109424248496,0.76847855686515,1.22590717843941
sim_052,0.932353369407637,0.0016600657286338,0.764501028289916,0.048322638770926,0.739354818292824,0.424945641134801,0.582472133249689,1.09669068693301
sim_053,0.0652918236063805,0.319009673052032,0.937107758521356,0.0373867952611036,0.597128725467341,0.491925214192609,0.656214078023271,1.12491310633516
sim_054,0.27533906146205,0.252602923184701,0.967013788923468,0.0170690721337001,0.90695897920429,0.434372221965997,0.727143532173273,3.21228773363298
sim_055,0.553259908390682,0.302329448433808,0.877746152763255,0.102906800301461,0.802618989363541,0.775961509649848,0.732299455514075,1.417493191003
sim_056,0.907442648483056,0.303549470318082,0.872410819194097,0.00899222449294558,0.481204123642174,0.652704423992774,0.544734896136899,2.52605452818937
sim_057,0.0350642772349568,0.544227748872679,0.867347330193586,0.043501136527475,0.628299230134488,0.546225421911339,0.454496007572117,0.944763570674382
sim_058,0.333223566307192,0.60112541717602,0.903919524983634,0.102259765145272,0.253186696777793,0.39306462127808,0.602118046699098,1.55027709206942
sim_059,0.68163975065099,0.543225329889334,0.883455801277641,0.00381440161868273,0.464134519667288,0.696924994418756,0.847940098144733,1.55316165273291
sim_060,0.827343718629243,0.579522719342075,1.00721876145744,0.0118659568402415,0.8345346792687,0.92190384468484,0.672813169975548,1.96560649306639
