ID,true_rural_k,true_urban_k,true_beta,recovered_rural_k,recovered_urban_k,recovered_beta
sim_074,0.316196495781231,0.577405881373547,4.06194372729607,0.290809737248724,0.692987003137909,7.14533722337279
sim_075,0.605286283138742,0.513642617570757,3.95996215591054,0.457664258416905,0.458421275721348,4.04541439032217
sim_076,0.946219655996566,0.577378303595904,4.0447064448546,1.01120322448392,0.658632756099865,5.4290187980499
sim_077,0.000639924083537788,0.879446752288391,4.03339925004484,0.190562732216584,0.678096516926832,6.23703337876731
sim_078,0.327186518936837,1.01012907864052,3.95331182558676,0.282099861599084,0.697017858029988,5.58820414612244
sim_079,0.557394198353154,0.829554503309632,4.00880572246437,0.483606124504604,0.565950360698966,6.05693482689296
sim_080,0.809837775077898,0.923072566565303,4.03512166225864,0.696254109554837,0.801775838036317,7.50764615665703
sim_081,0.015946250659892,0.0282670971334534,5.01121555978869,0.191666408103272,0.189171142673652,6.85144109953913
sim_082,0.340994082288841,0.0637156655039321,4.96096431534149,0.484496381338184,0.186614232104838,5.64628530663472
sim_083,0.611779227838209,0.0180765046257883,5.00241178762196,0.693805046601198,0.189539331118456,7.04742485884301
sim_084,0.958329747613696,0.0708791912967038,5.03496902681842,0.933203187235375,0.189762431833857,7.16141979721265
sim_085,0.0208022961093416,0.278949642437906,4.95305016161223,0.192231538466578,0.377373541402353,7.16768950082619
sim_086,0.275775399687968,0.261353030015796,5.07964084270213,0.290092600356859,0.189380506895629,6.96635958974777
sim_087,0.608254774051897,0.284938665194086,4.95698586812996,0.691464093749278,0.257353007803761,4.15952618571453
sim_088,0.913205135523405,0.334334821284321,5.00445423673856,0.797905930097103,0.374186685350724,6.45422350018011
sim_089,0.00260798426859014,0.582123626333551,4.97524409559804,0.189428639702802,0.366431285720251,5.64796225185695
sim_090,0.351883657469086,0.580108277637291,4.97478051193171,0.37208962134871,0.478781157787892,5.99268366845472
sim_091,0.552908568773212,0.664835929898413,5.03916224745833,0.712997734354563,0.699928896945649,5.88837872520983
sim_092,0.869954757553354,0.673726565549374,4.88699759867422,0.749582882263295,0.793559394319836,6.05022455091691
sim_093,0.00232466927821896,0.882004982569911,5.03363917929053,0.192494029427868,0.674159146583654,7.31999211316984
sim_094,0.34754889465277,0.933338403972078,5.00331906132109,0.292005552895652,0.801639145302421,7.47653447702373
sim_095,0.679928426021592,0.866040967959003,5.03136018803427,0.593605896814707,0.784253007814766,5.36693065786068
sim_096,0.852629301105614,0.865858076185049,5.00463119403767,0.83185910726475,0.808820404319164,5.98697099190447
sim_097,0.0101004453102124,0.0796433905928897,5.94565096249372,0.190717946566247,0.284783860354845,6.32054862712619
sim_098,0.339500689689846,0.0644005721429047,5.92466839476211,0.379000540483725,0.189777736776275,7.16872251364695
sim_099,0.581235214939701,0.0313351825656804,6.03391733092594,0.593043818044339,0.187246546344081,5.93237585966851
sim_100,0.955359162698288,0.0708369202424038,5.99875168666685,0.704020728936835,0.186714567465097,5.69107694837862
sim_101,0.0334343882408801,0.282497607726187,5.98624725798934,0.191878144528736,0.288200347691216,6.96514972349308
