simulated_model,round,estimated_model,sumLME,bicint,relBIC,xp,winner_by_BIC,winner_by_XP
ms_two_k_one_beta_linear,7,ms_two_k_one_beta,-708.779225052555,1396.5633074004,97.4570476465381,0,0,0
ms_two_k_one_beta_linear,7,ms_two_k_one_beta_linear,-654.059496132668,1299.10625975386,0,1,1,1
ms_two_k_one_beta_linear,7,ms_two_k_one_beta_hyperbolic,-663.396277253046,1323.68699290665,24.5807331527842,0,0,0
ms_two_k_one_beta_linear,7,ms_two_k_two_beta,-715.663085575054,1426.94212801515,127.835868261288,0,0,0
ms_two_k_one_beta_linear,7,ms_two_k_two_beta_linear,-667.013513137796,1330.08706014826,30.9808003943976,0,0,0
ms_two_k_one_beta_linear,7,ms_two_k_two_beta_hyperbolic,-673.097800291962,1352.36258783777,53.2563280839117,0,0,0
ms_two_k_one_beta_linear,8,ms_two_k_one_beta,-709.456971559319,1400.40269233504,50.9517620212198,0.000107,0,0
ms_two_k_one_beta_linear,8,ms_two_k_one_beta_linear,-681.913566722824,1349.45093031382,0,0.999884,1,1
ms_two_k_one_beta_linear,8,ms_two_k_one_beta_hyperbolic,-691.888212095808,1376.75953611506,27.3086058012361,6e-06,0,0
ms_two_k_one_beta_linear,8,ms_two_k_two_beta,-720.254417071984,1429.43290609271,79.9819757788875,0,0,0
ms_two_k_one_beta_linear,8,ms_two_k_two_beta_linear,-691.805433256015,1381.21585519688,31.7649248830592,3e-06,0,0
ms_two_k_one_beta_linear,8,ms_two_k_two_beta_hyperbolic,-703.957507778737,1411.69838550905,62.2474551952293,0,0,0
ms_two_k_one_beta_linear,9,ms_two_k_one_beta,-713.414646318179,1409.49583211384,108.741383496664,0,0,0
ms_two_k_one_beta_linear,9,ms_two_k_one_beta_linear,-655.418991331803,1300.75444861718,0,1,1,1
ms_two_k_one_beta_linear,9,ms_two_k_one_beta_hyperbolic,-674.305554105195,1346.95034464209,46.1958960249065,0,0,0
ms_two_k_one_beta_linear,9,ms_two_k_two_beta,-723.793873982609,1442.23403418999,141.47958557281,0,0,0
ms_two_k_one_beta_linear,9,ms_two_k_two_beta_linear,-665.103295205358,1334.95636661186,34.2019179946819,0,0,0
ms_two_k_one_beta_linear,9,ms_two_k_two_beta_hyperbolic,-689.742491977632,1381.53393711455,80.77948849737,0,0,0
ms_two_k_one_beta_linear,10,ms_two_k_one_beta,-748.94407193869,1470.4210196668,100.750392561808,0,0,0
ms_two_k_one_beta_linear,10,ms_two_k_one_beta_linear,-686.968194862015,1369.67062710499,0,1,1,1
ms_two_k_one_beta_linear,10,ms_two_k_one_beta_hyperbolic,-706.569955301567,1409.69202679044,40.0213996854482,0,0,0
ms_two_k_one_beta_linear,10,ms_two_k_two_beta,-757.260077659821,1495.5147469052,125.844119800212,0,0,0
ms_two_k_one_beta_linear,10,ms_two_k_two_beta_linear,-701.612040020255,1403.93755251962,34.2669254146306,0,0,0
ms_two_k_one_beta_linear,10,ms_two_k_two_beta_hyperbolic,-723.292150043726,1444.9804650706,75.3098379656137,0,0,0
ms_two_k_one_beta_hyperbolic,1,ms_two_k_one_beta,-1039.40412759837,2058.27926802508,95.0590746093799,0,0,0
ms_two_k_one_beta_hyperbolic,1,ms_two_k_one_beta_linear,-1006.95290537144,1998.12781941541,34.90762599971,0,0,0
ms_two_k_one_beta_hyperbolic,1,ms_two_k_one_beta_hyperbolic,-988.999215076126,1963.2201934157,0,1,1,1
ms_two_k_one_beta_hyperbolic,1,ms_two_k_two_beta,-1047.25027970085,2084.17164205271,120.951448637012,0,0,0
ms_two_k_one_beta_hyperbolic,1,ms_two_k_two_beta_linear,-1018.58148451718,2032.70325073519,69.4830573194918,0,0,0
ms_two_k_one_beta_hyperbolic,1,ms_two_k_two_beta_hyperbolic,-1001.01712721555,2000.4366580907,37.2164646750036,0,0,0
ms_two_k_one_beta_hyperbolic,2,ms_two_k_one_beta,-1005.61548571708,1994.48046331599,130.372496234402,0,0,0
ms_two_k_one_beta_hyperbolic,2,ms_two_k_one_beta_linear,-958.931298035453,1903.80729212189,39.6993250403038,0,0,0
ms_two_k_one_beta_hyperbolic,2,ms_two_k_one_beta_hyperbolic,-936.656032427647,1864.10796708159,0,1,1,1
ms_two_k_one_beta_hyperbolic,2,ms_two_k_two_beta,-1008.45333144419,2005.98556205868,141.87759497709,0,0,0
ms_two_k_one_beta_hyperbolic,2,ms_two_k_two_beta_linear,-968.33350327817,1928.99593206735,64.8879649857688,0,0,0
ms_two_k_one_beta_hyperbolic,2,ms_two_k_two_beta_hyperbolic,-949.973824166787,1895.60932200546,31.5013549238777,0,0,0
ms_two_k_one_beta_hyperbolic,3,ms_two_k_one_beta,-996.563876849581,1973.8955574345,141.953061443392,0,0,0
ms_two_k_one_beta_hyperbolic,3,ms_two_k_one_beta_linear,-941.938236980809,1865.03353467811,33.0910386870053,0,0,0
ms_two_k_one_beta_hyperbolic,3,ms_two_k_one_beta_hyperbolic,-923.866635840543,1831.94249599111,0,1,1,1
ms_two_k_one_beta_hyperbolic,3,ms_two_k_two_beta,-1000.15977679701,1991.37340157765,159.43090558654,0,0,0
ms_two_k_one_beta_hyperbolic,3,ms_two_k_two_beta_linear,-954.312231912769,1902.55411499371,70.6116190026059,0,0,0
ms_two_k_one_beta_hyperbolic,3,ms_two_k_two_beta_hyperbolic,-936.85566626329,1868.07019772469,36.1277017335867,0,0,0
ms_two_k_one_beta_hyperbolic,4,ms_two_k_one_beta,-1016.70736964831,2020.45957720986,108.089576649247,0,0,0
ms_two_k_one_beta_hyperbolic,4,ms_two_k_one_beta_linear,-976.945693062075,1939.45570724974,27.0857066891267,0,0,0
ms_two_k_one_beta_hyperbolic,4,ms_two_k_one_beta_hyperbolic,-960.679306052618,1912.37000056062,0,1,1,1
ms_two_k_one_beta_hyperbolic,4,ms_two_k_two_beta,-1025.26984996092,2044.05255429251,131.682553731897,0,0,0
ms_two_k_one_beta_hyperbolic,4,ms_two_k_two_beta_linear,-989.083401852226,1972.88003799766,60.5100374370488,0,0,0
ms_two_k_one_beta_hyperbolic,4,ms_two_k_two_beta_hyperbolic,-975.642769482705,1948.39055487434,36.0205543137204,0,0,0
ms_two_k_one_beta_hyperbolic,5,ms_two_k_one_beta,-1010.28362438213,2006.86081968053,95.8258619099142,0,0,0
ms_two_k_one_beta_hyperbolic,5,ms_two_k_one_beta_linear,-972.419865979492,1935.8165292185,24.7815714478788,1e-06,0,0
